地区,x1,x2,x3,x4,x5,x6,x7,x8
北京,7535.29,2638.90,1970.94,1610.70,3781.51,3695.98,1658.37,1154.18
天津,7343.64,1881.43,1854.22,1151.16,3083.37,2254.22,1556.35,899.87
河北,4211.16,1541.99,1502.41,876.10,1723.75,1203.80,1047.28,424.63
山西,3855.56,1529.47,1438.88,832.52,1672.29,1506.20,905.88,470.72
内蒙古,5463.18,2730.23,1583.56,1242.64,2572.93,1971.78,1354.09,798.68
辽宁,5809.39,2042.40,1433.28,1069.65,2323.29,1843.89,1309.62,762.07
吉林,4635.27,2044.80,1594.14,871.46,1780.67,1642.70,1447.50,597.00
黑龙江,4687.23,1806.92,1336.85,742.22,1462.61,1216.56,1180.67,550.51
上海,9655.60,2111.17,1790.48,1906.49,4563.80,3723.74,1016.65,1485.53
江苏,6658.37,1915.97,1437.08,1288.42,2689.51,3077.76,1058.11,700.06
浙江,7552.02,2109.58,1551.69,1161.39,4133.50,2996.59,1228.02,812.39
安徽,5814.92,1540.66,1396.97,811.23,1809.72,1932.74,1142.96,562.44
福建,7317.42,1634.21,1753.86,1254.71,2961.78,2104.83,773.22,793.17
江西,5071.61,1476.63,1173.91,966.23,1501.34,1487.30,670.71,427.93
山东,5201.32,2196.98,1572.35,1125.99,2370.23,1655.91,1005.25,650.21
河南,4607.47,1885.99,1190.81,1145.42,1730.35,1525.33,1085.47,562.13
湖北,5837.93,1783.41,1371.15,978.26,1476.98,1651.92,1029.55,366.78
湖南,5441.63,1624.57,1301.60,1034.30,2084.15,1737.64,918.41,466.65
广东,8258.44,1520.59,2099.75,1467.20,4176.66,2954.13,1048.28,871.30
广西,5552.56,1146.46,1377.26,1125.39,2088.64,1626.05,883.56,444.06
海南,6556.10,864.96,1521.04,777.20,2004.34,1319.54,993.24,420.13
重庆,6870.23,2228.76,1177.02,1196.03,1903.24,1470.64,1101.56,625.66
四川,6073.86,1651.14,1284.09,1097.93,1946.72,1587.43,772.75,635.62
贵州,4992.85,1399.00,1013.53,849.94,1891.03,1396.00,654.53,388.82
云南,5468.17,1759.89,973.76,634.09,2264.23,1434.30,939.13,410.35
西藏,5517.69,1361.57,845.18,474.69,1387.45,550.48,467.23,580.05
陕西,5550.71,1789.06,1322.22,986.82,1788.38,2078.52,1212.44,604.69
甘肃,4602.33,1631.40,1287.93,833.15,1575.67,1388.21,1049.65,478.72
青海,4667.34,1512.24,1232.39,923.70,1549.76,1097.21,906.14,457.51
宁夏,4768.91,1875.70,1193.37,929.01,2110.41,1515.91,1063.09,610.74
新疆,5238.89,2031.14,1166.59,950.17,1660.27,1280.81,1027.60,536.24
