省区,工资性收入,家庭经营纯收入,财产性收入,转移性收入
北京,10843.48429,1318.104906,1716.356657,2597.794904
天津,7922.257013,4126.286047,920.9993673,1055.994657
河北,4005.281532,3254.566913,218.3021655,603.2344216
山西,3175.504144,2334.408316,140.7998716,705.9147668
内蒙古,1459.054609,4689.106597,322.9770853,1140.171485
辽宁,3630.23559,4783.350252,246.1729845,723.9565461
吉林,1792.02264,5617.62744,392.9571459,795.5607416
黑龙江,1816.841251,5433.685993,580.3374757,772.9847111
上海,11477.70713,902.6063143,1381.832069,4041.532875
江苏,6775.886032,3873.896286,458.4565653,1093.714367
浙江,7678.215772,5291.360382,588.528289,993.8149605
安徽,3243.468217,3265.641681,111.8079281,539.5398521
福建,4474.487196,4570.444992,319.8016389,602.4360762
江西,3532.722485,3742.427234,120.9238912,433.3566568
山东,4383.221224,4234.554234,257.1961216,571.5693224
河南,2989.356326,3973.434467,135.4906502,426.6622733
湖北,3189.843575,4123.488005,65.87205893,472.5084958
湖南,3847.589551,2903.211972,112.7738629,576.5938227
广东,6804.427887,2566.101602,556.4714588,615.8429087
广西,2245.952687,3234.552681,53.87025838,473.1741579
海南,2475.565241,4182.730495,173.3049424,576.4022234
重庆,3400.773964,2975.305883,175.5635255,831.6310895
四川,3088.857732,3004.922793,166.553969,741.091756
贵州,1977.73207,2249.205447,71.5350484,454.5263278
云南,1435.871477,3328.097015,234.187027,418.3844864
西藏,1201.931685,3678.656275,127.7123585,711.0801887
陕西,2727.851564,2294.429965,200.0526968,540.1812097
甘肃,1787.715182,2114.750962,112.0817275,492.1161182
青海,1989.692348,2221.921841,95.25911662,1057.507909
宁夏,2510.528191,3071.519212,101.5504457,496.7255796
新疆,1008.019219,4238.97777,170.729607,975.9515059
