SEX,AGE,X2,Y
.00,18.00,850.00,.00
.00,21.00,1200.00,.00
.00,23.00,850.00,1.00
.00,23.00,950.00,1.00
.00,28.00,1200.00,1.00
.00,31.00,850.00,.00
.00,36.00,1500.00,1.00
.00,42.00,1000.00,1.00
.00,46.00,950.00,1.00
.00,48.00,1200.00,.00
.00,55.00,1800.00,1.00
.00,56.00,2100.00,1.00
.00,58.00,1800.00,1.00
1.00,18.00,850.00,.00
1.00,20.00,1000.00,.00
1.00,25.00,1200.00,.00
1.00,27.00,1300.00,.00
1.00,28.00,1500.00,.00
1.00,30.00,950.00,1.00
1.00,32.00,1000.00,.00
1.00,33.00,1800.00,.00
1.00,33.00,1000.00,.00
1.00,38.00,1200.00,.00
1.00,41.00,1500.00,.00
1.00,45.00,1800.00,1.00
1.00,48.00,1000.00,.00
1.00,52.00,1500.00,1.00
1.00,56.00,1800.00,1.00
